Participant,IT1,IT2,Key,rubric,accuracy,RT
1,v,v,m,1,1,4.42
1,l,l,n,1,0,3.636
1,e,w,n,0,1,2.678
1,r,a,n,0,1,3.318
1,y,y,m,1,1,4.099
1,f,f,n,1,0,4.459
1,z,z,m,1,1,4.016
1,k,k,m,1,1,3.532
1,o,o,n,1,0,3.603
1,c,j,n,0,1,5.836
1,l,p,n,0,1,3.397
1,n,n,n,1,0,3.903
1,w,o,m,0,0,4.004
1,v,u,n,0,1,4.074
1,l,l,m,1,1,3.201
1,p,p,m,1,1,3.243
1,c,o,n,0,1,2.747
1,v,j,m,0,0,3.548
1,k,f,n,0,1,3.063
1,y,y,m,1,1,2.874
1,n,n,m,1,1,3.079
1,s,e,n,0,1,4.247
1,q,e,n,0,1,3.587
1,t,r,m,0,0,3.376
1,m,m,m,1,1,3.305
1,w,g,n,0,1,3.246
1,x,u,n,0,1,3.916
1,j,j,m,1,1,5.917
1,b,b,m,1,1,3.34
1,q,f,m,0,0,3.032
1,k,k,m,1,1,2.608
1,d,d,m,1,1,2.732
1,v,t,m,0,0,3.457
1,g,e,n,0,1,2.981
1,o,r,m,0,0,3.604
1,w,w,m,1,1,2.945
1,s,s,n,1,0,3.312
1,g,g,m,1,1,2.953
1,x,x,m,1,1,3.009
1,o,i,m,0,0,3.613
1,z,j,m,0,0,2.753
1,j,c,n,0,1,3.897
1,z,z,m,1,1,3.641
1,x,k,n,0,1,2.789
1,t,c,n,0,1,3.162
1,q,q,m,1,1,3.231
1,n,s,n,0,1,2.812
1,g,h,m,0,0,2.732
1,j,q,n,0,1,3.404
1,a,a,m,1,1,2.628
1,d,s,n,0,1,3.118
1,e,u,n,0,1,2.814
1,h,h,m,1,1,2.985
1,d,n,n,0,1,3.484
1,p,p,m,1,1,4.409
1,x,y,n,0,1,5.867
1,k,j,n,0,1,2.689
1,z,w,n,0,1,3.62
1,s,s,m,1,1,4.355
1,c,y,n,0,1,2.892
1,y,y,m,1,1,3.085
1,c,c,m,1,1,2.961
1,t,t,m,1,1,2.805
1,g,c,n,0,1,2.732
1,y,p,m,0,0,2.972
1,a,y,n,0,1,2.557
1,r,r,m,1,1,2.266
1,h,n,n,0,1,2.321
1,r,i,n,0,1,2.673
1,c,h,m,0,0,3.345
1,f,h,n,0,1,4.246
1,t,t,m,1,1,4.153
1,p,x,m,0,0,3.372
1,d,d,m,1,1,2.908
1,f,e,m,0,0,2.722
1,q,q,m,1,1,3.104
1,u,u,m,1,1,3.68
1,f,v,n,0,1,3.641
1,f,f,m,1,1,6.08
1,w,w,m,1,1,2.961
1,k,u,m,0,0,3.211
1,n,d,n,0,1,3.383
1,p,b,n,0,1,6.313
1,l,i,n,0,1,3.217
1,o,o,m,1,1,4.556
1,o,w,n,0,1,3.836
1,i,i,m,1,1,4.226
1,u,u,m,1,1,2.923
1,k,b,n,0,1,2.86
1,h,h,n,1,0,3.244
1,q,s,n,0,1,3.292
1,v,k,n,0,1,3.502
1,o,q,m,0,0,3.089
1,h,z,m,0,0,4.166
1,w,w,m,1,1,3.787
1,g,i,n,0,1,3.462
1,s,d,m,0,0,3.633
1,j,j,m,1,1,5.185
1,p,n,m,0,0,3.157
1,s,s,m,1,1,2.838
1,f,f,m,1,1,2.603
1,q,v,n,0,1,3.281
1,e,e,m,1,1,2.604
1,c,c,m,1,1,2.844
1,b,b,m,1,1,2.643
1,d,z,n,0,1,2.842
1,r,w,m,0,0,2.855
1,u,k,n,0,1,4.398
1,g,g,m,1,1,2.849
1,h,h,m,1,1,3.025
1,q,q,n,1,0,3.572
1,n,r,n,0,1,3.621
1,h,l,n,0,1,2.908
1,f,f,m,1,1,2.664
1,b,q,n,0,1,2.715
1,u,u,n,1,0,4.668
1,x,x,m,1,1,3.107
1,s,i,m,0,0,4.456
1,w,f,n,0,1,3.223
1,v,q,m,0,0,3.266
1,x,a,n,0,1,2.91
1,h,o,n,0,1,3.611
1,a,a,m,1,1,5.761
1,t,v,m,0,0,3.443
1,z,z,m,1,1,3.947
1,q,o,n,0,1,3.755
1,h,h,m,1,1,3.353
1,t,q,n,0,1,3.948
1,b,b,m,1,1,3.075
1,r,r,m,1,1,3.627
1,o,o,m,1,1,3.624
1,k,z,n,0,1,3.004
1,p,e,n,0,1,3.259
1,r,o,m,0,0,3.977
1,z,k,n,0,1,3.616
1,n,n,n,1,0,3.321
1,v,v,m,1,1,4.585
1,j,o,n,0,1,2.739
2,c,t,n,0,1,3.233
2,w,w,m,1,1,3.119
2,u,v,n,0,1,3.283
2,q,m,m,0,0,3.528
2,l,l,m,1,1,3.007
2,m,x,n,0,1,2.715
2,d,f,m,0,0,3.062
2,g,s,n,0,1,3.06
2,z,h,n,0,1,3.115
2,e,e,m,1,1,2.588
2,f,d,m,0,0,3.187
2,u,m,m,0,0,2.745
2,d,x,n,0,1,2.571
2,r,r,m,1,1,2.764
2,o,o,m,1,1,2.739
2,o,p,m,0,0,3.108
2,x,x,m,1,1,3.181
2,i,i,m,1,1,3.626
2,d,j,n,0,1,3.005
2,n,n,m,1,1,2.787
2,u,q,n,0,1,3.625
2,g,g,m,1,1,3.273
2,b,h,n,0,1,3.195
2,o,a,n,0,1,3.193
2,l,l,m,1,1,3.15
2,u,u,n,1,0,3.45
2,u,u,n,1,0,3.536
2,j,j,m,1,1,3.207
2,h,h,m,1,1,3.156
2,n,q,n,0,1,3.276
2,c,c,m,1,1,2.841
2,r,r,m,1,1,2.66
2,c,c,m,1,1,3.997
2,d,l,n,0,1,2.801
2,k,a,n,0,1,2.995
2,q,w,m,0,0,2.728
2,a,a,n,1,0,3.489
2,g,k,n,0,1,2.746
2,p,p,m,1,1,3.025
2,q,p,m,0,0,3.112
2,z,z,m,1,1,2.492
2,q,d,m,0,0,2.232
2,g,g,m,1,1,2.637
2,r,r,m,1,1,2.712
2,b,b,m,1,1,2.209
2,u,u,m,1,1,2.324
2,k,k,m,1,1,2.171
2,l,o,n,0,1,2.38
2,y,d,n,0,1,1.956
2,v,f,n,0,1,2.589
2,y,q,m,0,0,2.284
2,n,v,n,0,1,2.407
2,r,p,m,0,0,2.382
2,w,a,n,0,1,2.532
2,f,y,n,0,1,1.991
2,i,v,n,0,1,2.321
2,o,h,n,0,1,2.42
2,g,g,m,1,1,2.703
2,h,c,n,0,1,1.771
2,z,z,m,1,1,1.643
2,k,k,m,1,1,1.778
2,j,y,n,0,1,2.032
2,t,t,n,1,0,2.133
2,p,p,m,1,1,1.796
2,d,d,m,1,1,2.105
2,z,a,n,0,1,2.25
2,p,p,m,1,1,1.509
2,y,y,m,1,1,1.819
2,d,d,m,1,1,2.055
2,j,p,n,0,1,2.157
2,z,z,m,1,1,2.154
2,s,s,m,1,1,2.341
2,f,f,m,1,1,2.467
2,d,d,m,1,1,1.961
2,k,k,m,1,1,2.23
2,n,n,m,1,1,1.915
2,k,k,m,1,1,1.711
2,a,a,m,1,1,1.587
2,s,s,m,1,1,2.317
2,q,q,m,1,1,2.285
2,i,i,m,1,1,1.837
2,m,u,n,0,1,1.596
2,m,m,m,1,1,2.028
2,q,q,m,1,1,2.412
2,e,k,n,0,1,1.872
2,j,j,m,1,1,2.424
2,a,g,n,0,1,2.18
2,m,m,m,1,1,1.884
2,v,v,m,1,1,2.091
2,j,x,n,0,1,2.014
2,w,t,n,0,1,2.209
2,w,w,n,1,0,2.852
2,n,m,n,0,1,2.165
2,h,d,n,0,1,2.639
2,j,u,n,0,1,2.601
2,t,t,m,1,1,2.331
2,s,s,m,1,1,2.772
2,r,f,n,0,1,2.62
2,d,d,m,1,1,2.471
2,b,b,m,1,1,2.519
2,r,t,m,0,0,2.617
2,z,z,m,1,1,2.087
2,n,n,m,1,1,2.771
2,i,n,n,0,1,2.214
2,b,b,m,1,1,2.254
2,h,h,m,1,1,2.737
2,a,a,n,1,0,3.035
2,i,x,n,0,1,2.243
2,o,o,m,1,1,2.065
2,r,z,m,0,0,2.433
2,z,y,m,0,0,2.323
2,y,y,m,1,1,2.58
2,e,e,m,1,1,2.328
2,j,n,n,0,1,2.368
2,b,b,m,1,1,2.092
2,i,z,n,0,1,2.139
2,h,h,m,1,1,2.084
2,b,b,m,1,1,1.825
2,u,n,m,0,0,1.997
2,l,w,n,0,1,1.912
2,f,f,m,1,1,1.852
2,x,e,n,0,1,2.408
2,e,s,n,0,1,1.912
2,g,r,n,0,1,2.296
2,e,e,m,1,1,2.031
2,j,v,n,0,1,2.193
2,s,k,m,0,0,2.988
2,j,j,m,1,1,3.377
2,f,i,n,0,1,2.55
2,z,m,m,0,0,2.641
2,f,a,n,0,1,2.02
2,m,r,n,0,1,2.814
2,a,a,m,1,1,2.333
2,r,r,m,1,1,2.415
2,u,y,n,0,1,2.5
2,r,s,n,0,1,2.435
2,t,k,n,0,1,2.01
2,j,j,m,1,1,2.049
2,m,c,n,0,1,2.211
2,w,w,m,1,1,2.516
2,r,r,m,1,1,2.376
2,w,w,n,1,0,2.373
2,e,e,m,1,1,2.557
2,f,f,m,1,1,2.247
2,q,u,n,0,1,2.889
2,l,l,m,1,1,3.039
2,a,w,n,0,1,1.981
2,p,l,m,0,0,1.79
2,n,p,n,0,1,1.95
2,t,y,n,0,1,2.475
2,v,v,m,1,1,2.292
2,f,g,m,0,0,2.432
2,e,e,m,1,1,1.812
2,p,p,m,1,1,2.671
2,s,s,n,1,0,2.337
2,u,h,n,0,1,2.389
2,q,q,m,1,1,2.287
2,k,h,n,0,1,1.727
2,a,p,n,0,1,1.692
2,v,v,m,1,1,2.433
2,i,r,n,0,1,1.97
2,q,n,n,0,1,2.11
2,i,i,m,1,1,2.56
2,d,v,n,0,1,2.58
2,h,p,n,0,1,2.077
2,w,w,n,1,0,2.684
2,y,n,m,0,0,2.492
2,y,y,m,1,1,2.363
2,s,j,m,0,0,2.515
2,x,x,m,1,1,1.915
2,a,z,n,0,1,1.899
2,v,l,m,0,0,2.586
2,b,j,m,0,0,1.969
2,n,i,n,0,1,2.115
2,r,d,n,0,1,2.212
2,u,u,m,1,1,2.02
2,j,i,m,0,0,2.611
2,e,j,n,0,1,1.924
2,n,n,m,1,1,1.779
2,z,n,m,0,0,2.248
2,c,r,n,0,1,1.833
2,h,h,m,1,1,1.851
2,x,x,m,1,1,2.043
2,y,z,n,0,1,2.18
2,g,g,m,1,1,2.028
2,o,l,m,0,0,1.755
2,c,c,m,1,1,2.082
2,s,b,n,0,1,2.244
2,l,e,m,0,0,1.796
2,i,i,m,1,1,2.46
2,r,h,n,0,1,2.568
2,q,q,m,1,1,2.437
2,y,b,n,0,1,2.011
2,q,q,m,1,1,1.841
2,x,x,m,1,1,1.707
2,i,k,n,0,1,2.309
2,k,k,m,1,1,1.892
2,n,n,m,1,1,1.914
2,h,j,n,0,1,2.18
2,h,k,n,0,1,1.572
2,n,g,n,0,1,1.851
2,y,c,n,0,1,2.099
2,o,c,n,0,1,1.671
2,c,d,n,0,1,1.904
2,t,t,m,1,1,1.603
2,m,m,n,1,0,1.843
2,v,v,m,1,1,2.176
2,s,x,n,0,1,1.585
2,d,b,n,0,1,2.155
2,h,x,n,0,1,1.695
2,t,t,m,1,1,1.732
2,t,t,m,1,1,1.987
2,c,b,n,0,1,2.505
2,p,p,m,1,1,2.107
2,f,f,m,1,1,2.445
2,c,c,m,1,1,2.383
2,i,i,m,1,1,1.717
2,d,d,m,1,1,1.919
2,x,c,n,0,1,1.78
2,u,a,m,0,0,1.684
2,g,d,m,0,0,2.505
2,f,f,m,1,1,2.646
2,e,d,m,0,0,1.907
2,e,c,n,0,1,2.217
2,x,w,n,0,1,2.33
2,r,y,n,0,1,2.596
2,q,b,n,0,1,2.475
2,o,o,m,1,1,2.455
2,a,h,n,0,1,2.079
2,j,j,m,1,1,2.856
2,m,m,m,1,1,2.615
2,x,x,m,1,1,2.312
2,f,z,m,0,0,2.867
2,z,g,n,0,1,2.275
2,l,l,m,1,1,1.963
2,r,b,n,0,1,1.883
2,y,m,m,0,0,1.827
2,u,g,n,0,1,1.992
2,y,y,m,1,1,1.964
2,c,c,m,1,1,1.83
2,a,l,n,0,1,1.613
2,a,a,m,1,1,1.789
2,f,b,m,0,0,1.645
2,y,y,m,1,1,1.661
2,o,o,m,1,1,1.692
2,h,h,m,1,1,1.54
2,v,v,m,1,1,1.963
2,o,o,m,1,1,1.651
2,c,p,n,0,1,1.628
2,u,z,n,0,1,1.84
2,t,s,m,0,0,1.672
2,g,g,m,1,1,1.63
2,u,u,m,1,1,1.611
2,o,k,n,0,1,1.948
2,s,s,m,1,1,1.728
3,a,t,n,0,1,1.748
3,e,q,n,0,1,1.966
3,x,x,n,1,0,1.788
3,j,a,n,0,1,2.043
3,b,n,n,0,1,1.63
3,r,r,m,1,1,1.825
3,z,p,n,0,1,1.789
3,e,z,n,0,1,1.875
3,l,h,n,0,1,1.714
3,d,w,n,0,1,1.834
3,b,b,n,1,0,1.769
3,w,w,n,1,0,2.1
3,s,n,n,0,1,1.835
3,y,y,n,1,0,1.384
3,s,s,m,1,1,2.539
3,j,j,m,1,1,1.42
3,i,g,n,0,1,1.691
3,u,u,m,1,1,1.809
3,k,k,n,1,0,2.06
3,y,x,m,0,0,1.88
3,i,i,m,1,1,1.527
3,w,c,m,0,0,2.048
3,a,a,m,1,1,2.253
3,m,m,m,1,1,2.678
3,x,x,n,1,0,2.201
3,x,v,m,0,0,1.995
3,j,m,m,0,0,1.625
3,p,c,n,0,1,1.825
3,j,z,m,0,0,1.425
3,g,l,m,0,0,1.444
3,x,x,n,1,0,1.729
3,b,g,m,0,0,2.027
3,l,n,n,0,1,2.193
3,m,m,m,1,1,1.996
3,e,e,m,1,1,1.683
3,r,g,n,0,1,2.099
3,j,r,n,0,1,2.372
3,j,j,n,1,0,2.016
3,q,q,m,1,1,2.316
3,n,n,n,1,0,2.019
3,o,o,n,1,0,2.209
3,n,f,n,0,1,1.935
3,o,g,n,0,1,1.929
3,r,x,n,0,1,1.915
3,q,q,n,1,0,2.392
3,p,p,m,1,1,2.059
3,s,z,n,0,1,2.292
3,j,j,m,1,1,2.211
3,q,z,m,0,0,2.34
3,p,f,m,0,0,2.42
3,w,q,m,0,0,1.466
3,a,a,m,1,1,1.853
3,y,i,m,0,0,2.187
3,b,d,m,0,0,2.508
3,m,m,n,1,0,2.347
3,l,t,m,0,0,2.227
3,e,e,m,1,1,2.132
3,g,g,n,1,0,2.027
3,k,d,m,0,0,2.049
3,n,x,n,0,1,2.084
3,p,p,m,1,1,1.676
3,c,c,n,1,0,2.23
3,c,c,n,1,0,2.282
3,q,q,m,1,1,3.107
3,t,t,m,1,1,2.148
3,y,j,m,0,0,1.82
3,b,b,m,1,1,1.825
3,e,e,m,1,1,2.001
3,e,o,m,0,0,1.847
3,n,j,m,0,0,2.004
3,u,u,m,1,1,2.009
3,z,o,m,0,0,1.888
3,m,o,n,0,1,2.008
3,e,e,m,1,1,2.044
3,h,a,n,0,1,2.172
3,r,k,m,0,0,1.929
3,c,f,n,0,1,2.164
3,d,d,n,1,0,2.062
3,k,c,n,0,1,2.268
3,i,l,n,0,1,3.813
3,g,g,m,1,1,2.472
3,z,z,m,1,1,2.244
3,h,q,n,0,1,2.017
3,t,t,m,1,1,1.945
3,b,b,m,1,1,1.74
3,y,g,m,0,0,1.749
3,y,y,n,1,0,1.432
3,h,h,m,1,1,1.333
3,o,o,m,1,1,1.84
3,g,g,m,1,1,1.711
3,p,p,m,1,1,1.484
3,k,k,m,1,1,1.833
3,t,g,m,0,0,1.891
3,v,v,m,1,1,2.17
3,v,v,m,1,1,2.169
3,r,r,m,1,1,2.02
3,q,q,m,1,1,1.806
3,z,z,m,1,1,1.305
3,m,m,m,1,1,1.483
3,p,p,m,1,1,1.129
3,k,k,m,1,1,1.481
3,a,a,m,1,1,1.693
3,y,y,m,1,1,1.515
3,s,s,m,1,1,1.956
3,n,n,m,1,1,1.609
3,v,a,n,0,1,2.067
3,v,v,m,1,1,2.113
3,q,q,m,1,1,1.939
3,r,j,m,0,0,0.923
3,k,t,m,0,0,1.028
3,l,q,m,0,0,1.32
3,o,o,m,1,1,1.45
3,j,t,m,0,0,1.353
3,z,z,m,1,1,1.233
3,h,s,n,0,1,1.653
3,l,l,m,1,1,2.275
3,c,a,m,0,0,1.392
3,t,i,m,0,0,1.473
3,v,v,m,1,1,1.347
3,l,l,m,1,1,1.916
3,c,c,m,1,1,1.444
3,o,o,m,1,1,1.496
3,x,z,m,0,0,1.288
3,y,h,n,0,1,1.221
3,u,c,m,0,0,1.263
3,o,e,m,0,0,1.596
3,g,g,m,1,1,1.752
3,s,s,m,1,1,1.977
3,l,g,m,0,0,1.559
3,c,i,n,0,1,1.734
3,k,v,n,0,1,1.581
3,m,z,n,0,1,2.041
3,c,g,m,0,0,2.069
3,w,y,m,0,0,1.6
3,z,z,m,1,1,2.009
3,z,z,m,1,1,1.316
3,r,e,n,0,1,1.741
3,f,m,n,0,1,1.821
3,t,p,n,0,1,2.01
3,b,o,n,0,1,2.206
3,j,j,m,1,1,2.257
3,h,h,m,1,1,1.694
3,w,w,m,1,1,1.614
3,c,c,m,1,1,1.69
3,x,q,m,0,0,1.564
3,f,f,n,1,0,2.068
3,w,w,m,1,1,1.723
3,a,f,m,0,0,1.858
3,c,x,m,0,0,1.836
3,w,w,n,1,0,2.299
3,h,f,m,0,0,1.692
3,v,y,m,0,0,1.963
3,j,g,m,0,0,2.284
3,p,s,m,0,0,1.402
3,i,h,m,0,0,1.365
3,m,f,m,0,0,1.58
3,f,f,m,1,1,1.145
3,v,o,m,0,0,1.115
3,v,e,n,0,1,1.35
3,a,n,n,0,1,1.583
3,e,l,n,0,1,1.685
3,r,l,n,0,1,1.53
3,f,f,n,1,0,1.513
3,m,m,m,1,1,1.627
3,m,s,m,0,0,1.322
3,s,s,m,1,1,1.33
3,d,c,m,0,0,1.464
3,t,a,m,0,0,1.425
3,d,d,m,1,1,1.753
3,g,n,m,0,0,1.322
3,b,s,m,0,0,1.29
3,n,e,n,0,1,1.397
3,j,j,n,1,0,1.307
3,w,d,n,0,1,1.523
3,s,f,n,0,1,1.553
3,t,t,n,1,0,1.916
3,o,s,m,0,0,1.075
3,x,x,m,1,1,1.465
3,b,z,n,0,1,2.072
3,d,g,m,0,0,1.355
3,e,e,m,1,1,1.244
3,t,l,m,0,0,1.78
3,g,t,m,0,0,1.676
3,z,e,n,0,1,1.731
3,b,b,m,1,1,1.742
3,p,u,m,0,0,1.507
3,n,n,m,1,1,1.483
3,v,s,m,0,0,1.504
3,w,w,m,1,1,2.056
3,y,y,n,1,0,1.137
3,k,k,n,1,0,1.579
3,x,x,m,1,1,1.347
3,o,o,n,1,0,1.049
3,l,j,m,0,0,1.324
3,d,d,m,1,1,1.1
3,k,k,n,1,0,1.505
3,t,t,m,1,1,1.112
3,n,w,m,0,0,1.28
3,f,f,m,1,1,1.658
3,a,s,m,0,0,1.467
3,n,c,m,0,0,1.58
3,f,q,m,0,0,1.771
3,l,l,m,1,1,1.98
3,r,u,n,0,1,2.11
3,k,w,m,0,0,2.238
3,o,b,n,0,1,2.26
3,b,b,n,1,0,2.38
3,d,d,m,1,1,1.728
3,h,h,m,1,1,2.148
3,q,r,m,0,0,1.415
3,t,t,m,1,1,1.157
3,u,u,m,1,1,1.304
3,u,u,m,1,1,1.307
3,a,a,m,1,1,1.602
3,q,k,m,0,0,1.423
3,y,y,m,1,1,1.308
3,v,p,m,0,0,1.295
3,h,h,n,1,0,1.429
3,i,a,n,0,1,1.521
3,l,l,n,1,0,1.386
3,v,g,n,0,1,1.725
3,i,i,n,1,0,1.615
3,c,c,n,1,0,2.046
3,h,h,m,1,1,2.337
3,s,t,n,0,1,2.019
3,w,l,m,0,0,2.324
3,l,l,m,1,1,1.907
3,g,g,m,1,1,1.982
3,e,a,n,0,1,2.463
3,y,t,n,0,1,2.113
3,t,j,n,0,1,2.245
3,w,k,n,0,1,2.025
3,g,y,m,0,0,2.051
3,i,i,m,1,1,2.507
3,b,x,n,0,1,2.06
3,h,m,n,0,1,1.767
3,s,s,n,1,0,2.722
3,n,n,m,1,1,2.34
3,d,t,n,0,1,2.465
3,v,v,n,1,0,2.348
3,k,g,n,0,1,2.443
3,r,r,m,1,1,3.214
3,b,e,n,0,1,2.274
3,a,d,n,0,1,2.653
3,t,e,n,0,1,1.947
3,u,u,m,1,1,2.048
3,z,d,n,0,1,1.684
3,f,f,n,1,0,2.451
3,a,a,m,1,1,2.161
3,n,n,m,1,1,2.668
3,r,r,n,1,0,2.395
3,r,r,n,1,0,2.164
3,p,r,n,0,1,2.009
3,f,n,n,0,1,2.198
3,p,p,m,1,1,1.926
3,g,o,n,0,1,2.183
3,h,t,n,0,1,2.728
3,i,i,m,1,1,2.503
3,i,i,m,1,1,2.428
3,d,d,m,1,1,2.395
4,e,e,m,1,1,6.924
4,w,w,m,1,1,5.803
4,l,f,n,0,1,4.8
4,m,v,n,0,1,6.327
4,h,h,m,1,1,4.3
4,d,k,n,0,1,3.912
4,y,v,m,0,0,3.219
4,c,z,n,0,1,3.924
4,h,b,m,0,0,3.131
4,h,h,m,1,1,3.499
4,c,c,m,1,1,3.435
4,w,h,n,0,1,3.009
4,y,e,n,0,1,3.21
4,z,q,m,0,0,3.003
4,y,y,m,1,1,3.782
4,u,e,n,0,1,4.093
4,g,z,n,0,1,4.314
4,x,x,m,1,1,3.036
4,n,n,m,1,1,3.881
4,e,e,m,1,1,3.287
4,d,d,m,1,1,3.083
4,t,t,m,1,1,2.876
4,s,o,n,0,1,4.495
4,n,n,n,1,0,3.683
4,q,q,m,1,1,3.976
4,s,s,m,1,1,4.538
4,v,v,n,1,0,4.682
4,x,x,m,1,1,3.574
4,u,x,m,0,0,3.372
4,p,z,n,0,1,3.94
4,a,q,n,0,1,3.998
4,b,r,n,0,1,3.056
4,d,d,m,1,1,3.18
4,d,p,n,0,1,3.476
4,z,z,m,1,1,3.835
4,l,l,n,1,0,4.876
4,l,l,n,1,0,3.766
4,h,h,n,1,0,3.996
4,a,v,n,0,1,2.947
4,k,k,m,1,1,3.5
4,w,w,m,1,1,4.085
4,a,j,n,0,1,3.167
4,i,p,n,0,1,4.167
4,e,e,m,1,1,4.012
4,f,f,n,1,0,4.506
4,h,v,n,0,1,3.347
4,g,g,m,1,1,4.403
4,p,h,m,0,0,3.627
4,n,n,m,1,1,4.473
4,s,w,m,0,0,5.104
4,l,m,m,0,0,2.905
4,q,y,n,0,1,4.749
4,v,x,n,0,1,4.249
4,m,e,m,0,0,3.639
4,z,t,n,0,1,4.42
4,p,g,m,0,0,3.243
4,a,a,m,1,1,2.756
4,w,v,m,0,0,3.889
4,x,i,n,0,1,3.2
4,s,s,m,1,1,3.249
4,z,x,m,0,0,4.2
4,h,h,m,1,1,4.502
4,h,i,n,0,1,3.765
4,b,u,m,0,0,2.971
4,u,u,m,1,1,3.805
4,i,b,n,0,1,3.022
4,t,o,n,0,1,3.84
4,d,m,n,0,1,3.052
4,r,r,m,1,1,3.52
4,l,l,m,1,1,3.162
4,e,e,n,1,0,3.533
4,j,j,m,1,1,3.327
4,a,k,n,0,1,2.795
4,t,m,n,0,1,3.716
4,p,p,n,1,0,3.913
4,m,a,n,0,1,5.102
4,s,m,m,0,0,4.353
4,v,v,m,1,1,4.179
4,o,z,m,0,0,3.971
4,q,x,n,0,1,4.194
4,g,f,m,0,0,4.273
4,t,t,m,1,1,4.371
4,f,o,m,0,0,4.638
4,b,b,m,1,1,3.553
4,x,j,m,0,0,5.581
4,h,w,n,0,1,4.076
4,u,u,n,1,0,4.312
4,l,y,n,0,1,4.785
4,m,i,n,0,1,3.389
4,m,n,n,0,1,3.243
4,w,w,n,1,0,3.731
4,l,l,m,1,1,3.094
4,m,m,m,1,1,3.579
4,f,f,m,1,1,4.067
4,z,z,m,1,1,3.364
4,h,u,n,0,1,3.512
4,u,u,m,1,1,3.411
4,f,u,n,0,1,3.435
4,y,y,m,1,1,3.787
